id,date,category,price
2425321,2013-04-01,17,31.0
2425322,2018-05-15,3,19.0
2425323,2013-07-02,10,52.0
2425324,2021-06-20,0,0.0
2425325,2014-01-28,15,39.0
2425326,2018-02-08,17,25.0
2425327,2015-05-02,11,33.0
2425328,2015-11-11,18,95.0
2425329,2015-08-15,13,5.0
2425330,2020-05-16,13,95.0
2425331,2017-05-05,1,2.0
2425332,2014-08-02,2,19.0
2425333,2019-07-15,0,82.0
2425334,2012-02-24,15,89.0
2425335,2019-05-10,5,56.0
2425336,2017-02-26,6,87.0
2425337,2012-07-27,4,3.0
2425338,2014-05-28,13,16.0
2425339,2018-12-04,5,11.0
2425340,2019-09-14,14,27.0
2425341,2019-12-15,13,36.0
2425342,2015-01-10,14,55.0
2425343,2016-09-01,1,93.0
2425344,2018-12-16,8,37.0
2425345,2021-05-23,4,88.0
2425346,2020-12-02,15,4.0
2425347,2020-01-03,3,24.0
2425348,2018-09-23,14,52.0
2425349,2018-10-26,19,56.0
2425350,2013-09-12,8,70.0
2425351,2019-11-11,13,75.0
2425352,2014-07-25,16,29.0
2425353,2018-06-23,2,28.0
2425354,2014-03-10,16,8.0
2425355,2017-01-01,6,43.0
2425356,2014-11-14,19,90.0
2425357,2014-05-01,11,9.0
2425358,2013-03-26,9,35.0
2425359,2021-09-02,18,52.0
2425360,2020-10-11,1,19.0
2425361,2015-04-18,2,9.0
2425362,2012-01-17,1,97.0
2425363,2016-09-14,15,3.0
2425364,2013-02-01,2,88.0
2425365,2018-05-23,2,1.0
2425366,2019-01-11,10,90.0
2425367,2014-04-05,18,59.0
2425368,2016-05-07,4,74.0
2425369,2019-10-27,19,41.0
2425370,2013-05-15,17,65.0
2425371,2020-03-26,19,93.0
2425372,2015-02-07,15,83.0
2425373,2014-01-19,4,34.0
2425374,2016-07-09,10,75.0
2425375,2014-04-24,4,88.0
2425376,2015-03-27,9,93.0
2425377,2012-02-19,14,45.0
2425378,2015-03-15,14,52.0
2425379,2017-02-24,13,11.0
2425380,2020-03-24,6,59.0
2425381,2016-02-18,19,48.0
2425382,2018-03-05,7,15.0
2425383,2020-02-04,13,50.0
2425384,2016-12-20,0,94.0
2425385,2015-08-28,17,59.0
2425386,2012-05-26,1,41.0
2425387,2013-09-25,15,76.0
2425388,2021-07-23,17,26.0
2425389,2017-09-08,10,5.0
2425390,2020-11-12,18,39.0
2425391,2017-08-13,3,4.0
2425392,2017-05-09,5,24.0
2425393,2016-12-21,5,48.0
2425394,2015-02-11,5,61.0
2425395,2019-01-13,19,50.0
2425396,2012-10-10,2,77.0
2425397,2018-08-21,4,19.0
2425398,2021-11-03,19,30.0
2425399,2020-04-10,2,68.0
2425400,2013-09-18,15,94.0
2425401,2016-11-22,13,91.0
2425402,2012-02-24,15,72.0
2425403,2018-10-10,16,18.0
2425404,2018-06-11,3,72.0
2425405,2015-09-06,8,97.0
2425406,2020-01-19,4,56.0
2425407,2019-08-17,5,59.0
2425408,2015-11-09,4,44.0
2425409,2012-02-22,14,95.0
2425410,2019-10-11,9,28.0
2425411,2021-01-22,4,79.0
2425412,2016-02-22,16,43.0
2425413,2015-04-15,12,5.0
2425414,2014-07-09,2,79.0
2425415,2013-11-21,15,38.0
2425416,2013-05-12,11,95.0
2425417,2013-05-12,7,4.0
2425418,2019-06-25,6,3.0
2425419,2013-12-07,8,90.0
2425420,2017-09-08,14,76.0
2425421,2016-09-12,8,43.0
2425422,2017-09-07,8,82.0
2425423,2018-10-21,0,90.0
2425424,2016-09-13,0,14.0
2425425,2017-04-12,5,58.0
2425426,2021-07-26,11,73.0
2425427,2014-04-26,13,7.0
2425428,2013-05-09,16,46.0
2425429,2015-11-26,2,40.0
2425430,2020-05-16,17,65.0
2425431,2017-07-19,19,60.0
2425432,2018-07-28,11,73.0
2425433,2015-01-21,6,36.0
2425434,2021-05-23,16,93.0
2425435,2016-06-19,11,74.0
2425436,2012-02-07,12,78.0
2425437,2021-02-21,17,44.0
2425438,2020-08-19,6,46.0
2425439,2019-10-11,11,46.0
2425440,2021-03-04,13,42.0
2425441,2012-08-11,11,46.0
2425442,2012-12-14,3,71.0
2425443,2019-06-12,10,38.0
2425444,2018-02-28,13,17.0
2425445,2015-06-21,7,44.0
2425446,2018-08-09,9,84.0
2425447,2016-02-04,16,87.0
2425448,2014-01-05,5,4.0
2425449,2019-01-19,7,47.0
2425450,2014-07-25,11,28.0
2425451,2020-10-15,6,62.0
2425452,2019-04-23,12,42.0
2425453,2021-09-27,9,80.0
2425454,2021-01-06,19,88.0
2425455,2019-03-08,0,2.0
2425456,2020-09-06,12,10.0
2425457,2012-01-04,2,99.0
2425458,2013-10-18,18,3.0
2425459,2021-07-02,12,58.0
2425460,2015-12-07,2,98.0
2425461,2019-08-26,16,81.0
2425462,2021-02-15,10,9.0
2425463,2021-11-10,4,63.0
2425464,2019-02-20,16,37.0
2425465,2018-05-02,9,46.0
2425466,2013-09-12,12,4.0
2425467,2012-02-03,5,65.0
2425468,2020-06-14,11,7.0
2425469,2013-09-28,19,55.0
2425470,2013-06-07,7,81.0
2425471,2019-04-24,2,99.0
2425472,2019-05-06,4,91.0
2425473,2021-08-26,18,18.0
2425474,2018-04-28,17,17.0
2425475,2019-08-07,4,78.0
2425476,2016-12-19,5,40.0
2425477,2015-02-12,1,28.0
2425478,2013-02-24,4,67.0
2425479,2014-11-19,15,25.0
2425480,2021-05-23,10,5.0
2425481,2019-01-02,6,72.0
2425482,2013-04-16,5,79.0
2425483,2013-10-12,13,42.0
2425484,2017-02-12,17,13.0
2425485,2020-09-23,5,51.0
2425486,2020-11-10,14,96.0
2425487,2019-08-03,12,59.0
2425488,2018-01-02,11,70.0
2425489,2018-10-23,17,27.0
2425490,2015-01-16,3,35.0
2425491,2019-01-05,10,79.0
2425492,2013-05-08,16,65.0
2425493,2019-09-09,1,10.0
2425494,2014-02-20,16,64.0
2425495,2016-07-26,18,89.0
2425496,2014-07-16,19,28.0
2425497,2018-06-08,10,43.0
2425498,2014-08-07,17,66.0
2425499,2017-03-10,18,4.0
2425500,2012-03-05,7,54.0
2425501,2017-11-18,2,3.0
2425502,2020-02-13,18,40.0
2425503,2021-11-15,7,89.0
2425504,2015-05-04,10,88.0
2425505,2013-07-23,10,31.0
2425506,2015-03-02,6,71.0
2425507,2019-12-10,17,30.0
2425508,2017-10-22,15,13.0
2425509,2021-05-04,8,6.0
2425510,2012-09-15,7,76.0
2425511,2018-10-05,12,79.0
2425512,2018-08-01,19,98.0
2425513,2018-08-04,15,55.0
2425514,2013-05-04,4,57.0
2425515,2014-05-27,17,88.0
2425516,2013-02-06,10,80.0
2425517,2020-12-17,16,1.0
2425518,2013-04-07,11,60.0
2425519,2017-07-19,2,90.0
2425520,2016-11-12,19,43.0
2425521,2016-12-07,6,58.0
2425522,2013-01-26,17,83.0
2425523,2018-12-10,9,54.0
2425524,2014-02-11,11,32.0
2425525,2017-07-03,3,41.0
2425526,2014-05-15,1,3.0
2425527,2019-07-18,7,69.0
2425528,2012-06-27,10,73.0
2425529,2012-04-07,2,12.0
2425530,2018-12-25,13,6.0
2425531,2015-01-09,18,18.0
2425532,2012-11-23,13,33.0
2425533,2013-02-13,10,52.0
2425534,2018-05-17,17,41.0
2425535,2021-04-16,13,2.0
2425536,2020-08-26,17,31.0
2425537,2021-01-23,16,29.0
2425538,2018-09-18,14,63.0
2425539,2021-05-06,11,42.0
2425540,2014-06-14,4,59.0
2425541,2019-12-12,10,65.0
2425542,2020-09-18,2,22.0
2425543,2017-12-01,15,78.0
2425544,2016-03-09,6,31.0
2425545,2018-07-10,7,44.0
2425546,2018-06-24,15,16.0
2425547,2012-11-07,18,34.0
2425548,2016-08-13,10,16.0
2425549,2021-08-28,2,61.0
2425550,2016-03-16,0,38.0
2425551,2021-10-18,0,67.0
2425552,2020-12-15,19,9.0
2425553,2020-02-20,0,76.0
2425554,2021-09-10,17,65.0
2425555,2016-09-22,18,64.0
2425556,2016-01-24,3,99.0
2425557,2019-11-11,5,17.0
2425558,2017-12-11,11,6.0
2425559,2012-11-20,1,7.0
2425560,2015-06-13,3,63.0
2425561,2015-04-11,5,25.0
2425562,2016-06-12,8,96.0
2425563,2016-07-03,0,26.0
2425564,2012-07-12,5,89.0
2425565,2017-11-23,11,56.0
2425566,2016-09-12,10,86.0
2425567,2015-06-16,0,87.0
2425568,2013-06-08,3,9.0
2425569,2014-09-21,19,96.0
2425570,2021-09-22,2,91.0
2425571,2021-09-07,8,86.0
2425572,2015-02-22,8,15.0
2425573,2018-05-17,13,49.0
2425574,2014-07-17,0,35.0
2425575,2018-04-13,13,73.0
2425576,2016-01-22,5,56.0
2425577,2020-09-26,17,34.0
2425578,2018-02-17,14,91.0
2425579,2019-07-01,15,26.0
2425580,2013-08-18,18,72.0
2425581,2019-11-10,15,79.0
2425582,2014-04-14,3,7.0
2425583,2012-12-10,10,81.0
2425584,2012-03-17,12,93.0
2425585,2021-01-12,4,49.0
2425586,2020-11-15,2,12.0
2425587,2018-07-28,8,12.0
2425588,2017-08-16,4,45.0
2425589,2020-11-14,11,51.0
2425590,2016-02-01,11,57.0
2425591,2014-07-19,4,81.0
2425592,2013-11-21,1,20.0
2425593,2018-06-17,14,46.0
2425594,2018-10-22,1,65.0
2425595,2016-02-17,9,14.0
2425596,2020-12-21,6,9.0
2425597,2019-02-25,9,77.0
2425598,2014-04-22,14,87.0
2425599,2021-01-13,12,20.0
2425600,2016-02-22,15,30.0
2425601,2020-11-01,13,7.0
2425602,2013-09-05,9,99.0
2425603,2019-05-08,17,14.0
2425604,2019-12-22,3,36.0
2425605,2014-01-07,14,43.0
2425606,2017-10-19,15,93.0
2425607,2014-06-04,1,69.0
2425608,2020-07-15,19,65.0
2425609,2017-02-22,3,27.0
2425610,2019-11-05,10,38.0
2425611,2021-10-08,13,51.0
2425612,2013-10-24,18,34.0
2425613,2015-03-13,15,24.0
2425614,2020-04-01,18,2.0
2425615,2019-09-06,18,1.0
2425616,2021-01-12,4,9.0
2425617,2016-08-01,17,24.0
2425618,2020-05-17,12,13.0
2425619,2014-12-17,1,26.0
2425620,2012-05-26,5,42.0
2425621,2012-08-24,9,73.0
2425622,2014-03-04,13,12.0
2425623,2012-04-22,18,9.0
2425624,2015-02-24,4,79.0
2425625,2019-04-16,10,39.0
2425626,2017-07-14,16,88.0
2425627,2013-06-15,5,77.0
2425628,2016-12-10,5,61.0
2425629,2020-11-26,12,51.0
2425630,2013-09-19,2,46.0
2425631,2014-09-08,10,32.0
2425632,2013-12-19,17,7.0
2425633,2012-04-03,2,64.0
2425634,2012-07-23,4,73.0
2425635,2016-12-09,18,3.0
2425636,2021-02-19,0,59.0
2425637,2013-12-14,10,14.0
2425638,2017-03-05,6,33.0
2425639,2019-06-21,3,42.0
2425640,2012-04-21,8,31.0
2425641,2021-07-05,1,1.0
2425642,2021-10-02,6,89.0
2425643,2017-04-25,12,61.0
2425644,2012-06-27,13,38.0
2425645,2015-06-22,6,59.0
2425646,2021-02-20,14,89.0
2425647,2019-05-17,14,47.0
2425648,2014-05-09,9,90.0
2425649,2014-11-26,19,99.0
2425650,2016-08-08,0,26.0
2425651,2017-01-12,15,42.0
2425652,2012-10-02,3,64.0
2425653,2017-10-04,11,67.0
2425654,2020-08-09,13,2.0
2425655,2021-08-15,9,27.0
2425656,2020-11-19,12,15.0
2425657,2017-04-13,0,8.0
2425658,2019-07-20,18,53.0
2425659,2021-11-20,0,28.0
2425660,2016-04-21,10,22.0
2425661,2020-09-20,0,5.0
2425662,2019-05-10,0,57.0
2425663,2014-06-21,5,72.0
2425664,2013-05-13,9,62.0
2425665,2017-03-12,7,10.0
2425666,2017-08-16,10,83.0
2425667,2014-08-19,10,47.0
2425668,2021-10-12,3,63.0
2425669,2019-06-25,8,27.0
2425670,2017-08-06,12,74.0
2425671,2020-04-26,3,64.0
2425672,2019-01-01,13,44.0
2425673,2021-08-16,8,37.0
2425674,2014-02-18,14,65.0
2425675,2013-04-23,0,97.0
2425676,2012-07-24,8,77.0
2425677,2015-05-01,9,41.0
2425678,2018-02-20,11,58.0
2425679,2021-04-25,17,46.0
2425680,2015-09-04,5,81.0
2425681,2021-07-08,8,60.0
2425682,2021-08-13,5,13.0
2425683,2015-02-06,7,24.0
2425684,2020-05-13,1,24.0
2425685,2018-08-04,13,15.0
2425686,2013-11-20,19,36.0
2425687,2014-09-09,4,20.0
2425688,2020-09-28,18,34.0
2425689,2017-10-22,5,69.0
2425690,2016-12-04,10,44.0
2425691,2019-12-17,13,13.0
2425692,2016-09-16,4,68.0
2425693,2019-10-25,2,47.0
2425694,2021-10-08,13,13.0
2425695,2020-09-28,10,44.0
2425696,2020-01-27,19,52.0
2425697,2019-04-23,12,80.0
2425698,2018-07-05,15,96.0
2425699,2015-10-14,3,88.0
2425700,2019-02-10,6,5.0
2425701,2013-02-22,3,5.0
2425702,2019-03-11,2,62.0
2425703,2020-08-14,18,14.0
2425704,2019-09-01,0,57.0
2425705,2016-07-06,4,36.0
2425706,2020-06-27,19,9.0
2425707,2020-11-23,8,21.0
2425708,2014-03-02,15,74.0
2425709,2014-04-26,18,73.0
2425710,2018-12-21,5,6.0
2425711,2013-07-17,4,75.0
2425712,2018-01-21,10,44.0
2425713,2013-11-18,17,89.0
2425714,2017-12-06,8,26.0
2425715,2016-10-02,5,5.0
2425716,2012-08-02,17,32.0
2425717,2013-08-26,11,96.0
2425718,2018-11-08,11,58.0
2425719,2021-06-12,15,12.0
2425720,2013-01-28,16,91.0
2425721,2017-09-01,12,10.0
2425722,2018-03-23,13,6.0
2425723,2015-01-13,10,46.0
2425724,2020-01-27,4,2.0
2425725,2020-01-22,4,54.0
2425726,2015-07-20,9,6.0
2425727,2019-04-01,11,99.0
2425728,2018-11-20,8,62.0
2425729,2013-12-13,4,63.0
2425730,2017-10-08,16,33.0
2425731,2015-05-09,15,97.0
2425732,2014-08-04,7,49.0
2425733,2017-06-27,13,28.0
2425734,2018-04-16,1,47.0
2425735,2012-11-09,3,97.0
2425736,2014-05-14,3,62.0
2425737,2021-10-27,16,64.0
2425738,2017-05-20,12,25.0
2425739,2021-08-24,13,43.0
2425740,2013-09-22,5,74.0
2425741,2012-03-20,2,51.0
2425742,2016-05-18,0,37.0
2425743,2020-05-16,2,57.0
2425744,2016-10-28,7,0.0
2425745,2019-03-12,9,68.0
2425746,2012-02-01,16,87.0
2425747,2020-10-25,8,59.0
2425748,2012-06-10,4,84.0
2425749,2014-09-11,6,75.0
2425750,2012-05-14,13,71.0
2425751,2021-03-20,11,71.0
2425752,2020-02-07,8,10.0
2425753,2016-01-25,6,58.0
2425754,2013-03-07,2,30.0
2425755,2015-12-16,17,89.0
2425756,2021-02-13,14,53.0
2425757,2021-09-19,3,17.0
2425758,2016-08-03,19,52.0
2425759,2012-01-12,18,18.0
2425760,2012-04-21,10,6.0
2425761,2016-02-12,7,47.0
2425762,2012-03-07,4,28.0
2425763,2016-07-09,19,38.0
2425764,2013-07-26,14,10.0
2425765,2015-05-01,4,73.0
2425766,2018-05-16,11,74.0
2425767,2021-07-19,14,92.0
2425768,2017-01-28,17,88.0
2425769,2018-01-15,8,18.0
2425770,2017-12-21,10,82.0
2425771,2017-04-07,19,38.0
2425772,2013-10-07,3,57.0
2425773,2019-10-04,1,12.0
2425774,2015-08-16,12,2.0
2425775,2019-05-08,3,17.0
2425776,2020-11-25,1,46.0
2425777,2017-04-18,9,14.0
2425778,2016-12-21,9,18.0
2425779,2012-09-22,9,24.0
2425780,2013-02-16,17,39.0
2425781,2018-10-03,4,58.0
2425782,2018-03-02,12,81.0
2425783,2018-04-04,11,12.0
2425784,2017-01-13,9,39.0
2425785,2015-11-23,10,47.0
2425786,2021-02-02,17,80.0
2425787,2014-03-27,3,12.0
2425788,2019-03-22,9,52.0
2425789,2014-04-11,7,92.0
2425790,2016-06-05,1,74.0
2425791,2014-11-10,2,80.0
2425792,2013-03-03,7,10.0
2425793,2013-11-02,14,56.0
2425794,2015-07-21,0,23.0
2425795,2013-05-05,11,88.0
2425796,2016-02-17,17,48.0
2425797,2018-10-15,6,79.0
2425798,2016-12-16,13,99.0
2425799,2015-02-20,4,16.0
2425800,2019-12-23,2,65.0
2425801,2014-03-15,17,2.0
2425802,2012-07-19,12,31.0
2425803,2015-03-08,10,26.0
2425804,2016-08-14,8,34.0
2425805,2018-01-02,8,3.0
2425806,2020-01-19,16,55.0
2425807,2015-01-24,11,87.0
2425808,2018-09-28,10,8.0
2425809,2015-10-08,16,79.0
2425810,2018-03-06,4,46.0
2425811,2018-04-02,5,71.0
2425812,2014-02-25,18,74.0
2425813,2015-05-17,2,25.0
2425814,2017-08-12,10,62.0
2425815,2018-10-10,19,72.0
2425816,2012-09-14,7,70.0
2425817,2016-10-06,9,3.0
2425818,2020-10-03,15,61.0
2425819,2019-02-18,7,62.0
2425820,2013-03-07,10,92.0
2425821,2018-08-11,13,68.0
2425822,2021-04-21,6,18.0
2425823,2013-06-01,4,19.0
2425824,2021-09-04,2,44.0
2425825,2020-02-11,13,30.0
2425826,2020-10-02,7,25.0
2425827,2018-06-14,2,33.0
2425828,2016-03-28,10,92.0
2425829,2018-03-19,10,27.0
2425830,2015-12-04,15,17.0
2425831,2021-07-03,12,17.0
2425832,2016-06-19,2,31.0
2425833,2016-12-06,11,60.0
2425834,2012-02-08,18,92.0
2425835,2021-05-06,18,99.0
2425836,2021-08-10,10,13.0
2425837,2015-04-10,5,77.0
2425838,2017-01-26,18,94.0
2425839,2015-08-16,6,55.0
2425840,2020-08-24,3,20.0
2425841,2017-11-27,8,95.0
2425842,2019-11-28,12,84.0
2425843,2013-11-25,5,32.0
2425844,2015-05-16,12,85.0
2425845,2021-12-14,12,47.0
2425846,2015-04-23,13,87.0
2425847,2013-03-25,12,35.0
2425848,2018-11-06,18,31.0
2425849,2014-02-02,18,63.0
2425850,2021-12-18,15,4.0
2425851,2014-07-16,15,27.0
2425852,2020-12-15,8,0.0
2425853,2013-06-28,3,29.0
2425854,2020-02-25,13,2.0
2425855,2012-10-18,18,65.0
2425856,2018-01-09,7,2.0
2425857,2013-07-17,7,69.0
2425858,2013-08-10,13,11.0
2425859,2019-12-03,1,31.0
2425860,2014-05-16,9,90.0
2425861,2021-02-27,11,20.0
2425862,2018-09-08,9,86.0
2425863,2012-10-06,10,26.0
2425864,2020-12-15,17,88.0
2425865,2012-05-24,13,3.0
2425866,2019-12-22,13,30.0
2425867,2012-01-21,14,33.0
2425868,2021-06-23,7,64.0
2425869,2016-07-27,17,57.0
2425870,2020-10-18,12,76.0
2425871,2012-07-12,1,36.0
2425872,2020-07-27,13,33.0
2425873,2020-10-26,9,62.0
2425874,2020-03-15,2,10.0
2425875,2015-06-06,8,95.0
2425876,2014-06-25,18,30.0
2425877,2016-12-22,14,20.0
2425878,2021-03-11,6,68.0
2425879,2013-05-21,1,64.0
2425880,2014-02-12,14,25.0
2425881,2018-08-27,18,72.0
2425882,2018-12-27,10,41.0
2425883,2018-04-22,17,40.0
2425884,2014-04-07,1,53.0
2425885,2021-06-28,6,77.0
2425886,2020-12-02,8,79.0
2425887,2018-03-06,10,50.0
2425888,2017-12-06,10,2.0
2425889,2012-03-10,13,37.0
2425890,2016-04-06,15,56.0
2425891,2018-08-21,16,89.0
2425892,2014-04-08,16,93.0
2425893,2014-12-12,3,99.0
2425894,2014-04-19,6,92.0
2425895,2013-03-16,14,0.0
2425896,2017-10-09,3,57.0
2425897,2021-09-09,4,69.0
2425898,2013-02-11,1,79.0
2425899,2012-08-06,7,76.0
2425900,2020-02-10,7,56.0
2425901,2021-01-11,1,63.0
2425902,2014-02-18,4,28.0
2425903,2014-04-19,3,71.0
2425904,2017-11-15,7,46.0
2425905,2019-04-22,0,32.0
2425906,2018-08-19,5,46.0
2425907,2020-04-25,9,92.0
2425908,2016-03-13,1,40.0
2425909,2020-10-21,13,73.0
2425910,2019-10-26,18,84.0
2425911,2021-03-18,2,48.0
2425912,2012-11-06,12,98.0
2425913,2016-11-18,4,56.0
2425914,2014-02-27,19,76.0
2425915,2013-01-11,6,63.0
2425916,2017-01-01,11,55.0
2425917,2021-12-15,3,82.0
2425918,2018-07-23,13,12.0
2425919,2020-10-11,3,23.0
2425920,2018-09-11,16,10.0
2425921,2020-09-13,10,26.0
2425922,2015-03-20,4,52.0
2425923,2019-01-03,7,14.0
2425924,2020-08-24,13,30.0
2425925,2017-05-02,9,46.0
2425926,2016-08-09,12,68.0
2425927,2015-07-25,17,11.0
2425928,2016-11-15,5,31.0
2425929,2020-12-18,15,81.0
2425930,2021-04-13,4,98.0
2425931,2015-05-01,9,57.0
2425932,2019-04-10,19,11.0
2425933,2019-12-12,7,72.0
2425934,2013-05-20,16,4.0
2425935,2016-01-03,5,59.0
2425936,2018-11-14,5,97.0
2425937,2019-11-10,16,0.0
2425938,2021-02-21,9,31.0
2425939,2019-05-27,11,48.0
2425940,2016-07-07,13,89.0
2425941,2016-12-11,15,69.0
2425942,2018-04-10,3,12.0
2425943,2017-01-24,11,58.0
2425944,2014-01-26,15,41.0
2425945,2015-08-21,5,28.0
2425946,2013-05-28,6,22.0
2425947,2017-12-20,6,14.0
2425948,2012-10-24,14,5.0
2425949,2021-12-11,8,44.0
2425950,2019-10-26,13,63.0
2425951,2019-06-11,18,20.0
2425952,2012-05-08,3,25.0
2425953,2017-10-22,11,36.0
2425954,2018-05-02,1,39.0
2425955,2019-08-18,14,76.0
2425956,2013-08-17,4,8.0
2425957,2012-05-16,1,24.0
2425958,2017-05-08,18,5.0
2425959,2019-12-18,10,78.0
2425960,2012-08-11,6,68.0
2425961,2017-03-10,19,42.0
2425962,2015-06-28,16,0.0
2425963,2019-09-05,8,15.0
2425964,2021-08-12,3,65.0
2425965,2012-10-23,17,31.0
2425966,2016-09-18,17,98.0
2425967,2013-01-07,14,54.0
2425968,2017-03-10,11,36.0
2425969,2012-11-22,2,36.0
2425970,2019-05-28,7,14.0
2425971,2014-07-28,15,29.0
2425972,2020-02-15,18,41.0
2425973,2013-03-07,17,0.0
2425974,2020-01-28,2,13.0
2425975,2017-11-23,17,8.0
2425976,2021-09-26,2,83.0
2425977,2020-02-03,17,72.0
2425978,2020-02-28,16,18.0
2425979,2021-03-13,1,88.0
2425980,2012-11-14,11,27.0
2425981,2019-02-26,3,14.0
2425982,2012-01-28,12,6.0
2425983,2015-10-08,6,33.0
2425984,2014-04-04,13,30.0
2425985,2019-05-10,11,6.0
2425986,2021-02-11,17,46.0
2425987,2014-09-21,16,95.0
2425988,2016-10-06,2,51.0
2425989,2012-12-23,15,14.0
2425990,2014-04-14,3,61.0
2425991,2017-12-17,13,54.0
2425992,2021-04-23,5,14.0
2425993,2013-05-25,19,29.0
2425994,2016-12-18,9,54.0
2425995,2013-08-22,7,18.0
2425996,2012-03-10,3,57.0
2425997,2018-08-03,5,57.0
2425998,2016-12-08,15,23.0
2425999,2020-03-11,2,97.0
2426000,2016-05-04,13,25.0
2426001,2017-06-22,6,62.0
2426002,2018-09-20,18,42.0
2426003,2021-04-15,5,61.0
2426004,2013-04-26,3,77.0
2426005,2015-03-23,8,55.0
2426006,2020-06-07,19,28.0
2426007,2017-05-16,3,71.0
2426008,2017-02-24,15,74.0
2426009,2017-10-21,3,56.0
2426010,2013-01-22,12,20.0
2426011,2015-02-04,18,33.0
2426012,2019-03-15,14,94.0
2426013,2019-02-25,18,84.0
2426014,2012-01-20,10,98.0
2426015,2021-12-07,19,45.0
2426016,2013-09-13,13,27.0
2426017,2015-03-16,15,14.0
2426018,2014-09-15,0,32.0
2426019,2019-04-17,6,93.0
2426020,2019-05-16,3,21.0
2426021,2013-10-11,11,26.0
2426022,2012-07-07,5,18.0
2426023,2016-02-03,3,55.0
2426024,2013-12-04,4,24.0
2426025,2013-07-04,16,19.0
2426026,2016-09-16,10,41.0
2426027,2019-02-10,15,78.0
2426028,2016-07-23,18,56.0
2426029,2014-06-18,9,33.0
2426030,2021-10-19,6,27.0
2426031,2012-05-15,1,87.0
2426032,2014-02-04,0,31.0
2426033,2021-07-02,19,92.0
2426034,2019-09-05,19,75.0
2426035,2018-01-13,0,83.0
2426036,2014-09-03,17,25.0
2426037,2020-11-13,14,57.0
2426038,2014-02-24,6,0.0
2426039,2016-04-21,5,66.0
2426040,2013-01-09,1,91.0
2426041,2019-03-05,16,79.0
2426042,2021-02-26,3,65.0
2426043,2012-11-20,18,61.0
2426044,2014-12-07,7,62.0
2426045,2014-03-16,15,11.0
2426046,2019-01-03,11,70.0
2426047,2012-11-25,17,28.0
2426048,2012-12-26,19,59.0
2426049,2020-03-04,14,74.0
2426050,2012-08-26,11,85.0
2426051,2017-08-21,16,64.0
2426052,2012-09-10,15,55.0
2426053,2015-11-24,9,20.0
2426054,2020-08-09,18,37.0
2426055,2019-10-28,3,32.0
2426056,2019-03-14,7,81.0
2426057,2020-08-06,17,62.0
