date,category_name,id,category,price,total_price_per_category_per_day
2020-06-15,furniture,2437208,19,61.0,25232.0
2017-02-17,food,2437502,1,55.0,10553.0
2019-09-08,food,2438265,5,68.0,11956.0
2016-01-06,furniture,2438394,13,89.0,28107.0
2016-01-06,furniture,2438669,7,63.0,28107.0
2019-11-07,furniture,2439314,8,77.0,28122.0
2020-06-15,furniture,2439375,12,83.0,25232.0
2013-03-13,food,2439531,5,87.0,10658.0
2016-09-09,food,2439556,1,1.0,11123.0
2019-11-08,food,2439844,5,26.0,11497.0
2020-06-15,furniture,2440203,15,10.0,25232.0
2020-01-13,furniture,2440439,14,38.0,25662.0
2012-01-20,furniture,2441316,19,80.0,29721.0
2015-01-17,furniture,2441328,15,19.0,25869.0
2019-11-07,furniture,2441339,17,74.0,28122.0
2018-03-07,food,2441444,4,88.0,12278.0
2016-09-09,food,2441572,4,25.0,11123.0
2021-02-08,furniture,2441887,17,18.0,26749.0
2015-01-17,furniture,2442110,15,38.0,25869.0
2019-11-08,food,2442185,4,8.0,11497.0
2019-09-08,food,2442232,1,19.0,11956.0
2015-02-12,furniture,2442352,6,37.0,25749.0
2015-01-17,furniture,2442689,6,19.0,25869.0
2015-08-19,furniture,2442809,6,79.0,28004.0
2013-11-23,food,2442874,0,33.0,11500.0
2021-02-08,furniture,2443175,18,57.0,26749.0
2021-09-18,furniture,2443346,18,93.0,26431.0
2021-09-18,furniture,2443671,8,5.0,26431.0
2019-04-20,furniture,2443701,17,46.0,27485.0
2013-11-23,food,2443852,0,30.0,11500.0
2015-08-09,food,2443858,4,99.0,10859.0
2021-02-08,furniture,2443989,7,54.0,26749.0
2020-11-16,food,2444264,4,26.0,10713.0
2015-02-12,furniture,2444750,19,86.0,25749.0
2019-01-27,food,2444779,1,65.0,10275.0
2013-09-24,food,2444962,0,48.0,10738.0
2015-02-12,furniture,2445115,10,18.0,25749.0
2021-02-08,furniture,2445842,10,59.0,26749.0
2020-06-15,furniture,2446440,6,11.0,25232.0
2019-01-18,food,2446532,3,40.0,11910.0
2021-02-08,furniture,2446564,6,84.0,26749.0
2013-11-19,food,2446825,4,54.0,11157.0
2020-11-16,food,2446951,3,20.0,10713.0
2019-09-08,food,2447043,3,87.0,11956.0
2015-02-12,furniture,2447349,18,0.0,25749.0
2019-04-20,furniture,2447379,12,3.0,27485.0
2019-12-21,food,2447471,0,49.0,10074.0
2014-04-16,food,2447496,1,75.0,12047.0
2018-03-07,food,2447531,5,72.0,12278.0
2020-06-15,furniture,2447770,8,84.0,25232.0
2015-04-27,food,2447773,4,92.0,9578.0
2019-01-27,food,2447904,1,13.0,10275.0
2015-01-17,furniture,2448381,6,27.0,25869.0
2020-06-15,furniture,2448958,18,12.0,25232.0
2019-01-27,food,2448980,4,58.0,10275.0
2019-01-27,food,2449186,1,33.0,10275.0
2020-06-15,furniture,2449209,13,47.0,25232.0
2019-07-19,food,2449263,0,85.0,9811.0
2020-06-15,furniture,2449443,16,46.0,25232.0
2019-04-08,food,2449672,5,63.0,11605.0
2017-11-22,food,2450109,1,20.0,10471.0
2020-11-16,food,2450126,4,5.0,10713.0
2016-09-09,food,2450400,3,99.0,11123.0
2019-04-20,furniture,2450653,19,94.0,27485.0
2019-09-08,food,2450660,5,38.0,11956.0
2020-01-13,furniture,2450886,10,23.0,25662.0
2019-12-21,food,2451078,0,80.0,10074.0
2020-06-15,furniture,2451157,13,44.0,25232.0
2017-02-17,food,2451360,5,65.0,10553.0
2017-02-17,food,2451483,5,28.0,10553.0
2021-02-08,furniture,2451489,8,1.0,26749.0
2020-06-15,furniture,2451567,15,71.0,25232.0
2019-01-27,food,2451916,3,36.0,10275.0
2015-08-19,furniture,2452015,15,29.0,28004.0
2017-02-16,furniture,2452145,9,92.0,26463.0
2012-01-20,furniture,2452466,9,0.0,29721.0
2019-11-08,food,2452530,1,87.0,11497.0
2013-09-24,food,2452618,3,11.0,10738.0
2019-11-07,furniture,2452793,8,43.0,28122.0
2013-11-19,food,2453081,1,32.0,11157.0
2019-09-08,food,2453199,4,84.0,11956.0
2015-06-13,food,2453209,4,77.0,9901.0
2021-02-08,furniture,2453462,19,98.0,26749.0
2021-02-08,furniture,2453547,16,51.0,26749.0
2020-01-13,furniture,2453589,19,17.0,25662.0
2019-11-07,furniture,2453719,7,50.0,28122.0
2016-01-06,furniture,2453831,15,48.0,28107.0
2019-04-20,furniture,2454355,19,38.0,27485.0
2020-01-13,furniture,2454655,9,86.0,25662.0
2019-07-19,food,2454726,5,97.0,9811.0
2018-03-07,food,2454737,5,60.0,12278.0
2014-04-16,food,2455487,2,70.0,12047.0
2015-08-19,furniture,2455522,19,3.0,28004.0
2019-07-19,food,2455713,2,44.0,9811.0
2019-01-27,food,2456394,0,29.0,10275.0
2020-01-13,furniture,2456457,15,50.0,25662.0
2018-12-24,food,2456977,0,95.0,10902.0
2015-08-09,food,2457121,5,17.0,10859.0
2021-02-08,furniture,2457389,18,51.0,26749.0
2021-09-18,furniture,2457630,16,67.0,26431.0
2017-02-16,furniture,2457774,8,47.0,26463.0
2016-01-06,furniture,2458073,12,62.0,28107.0
2014-04-16,food,2458319,0,9.0,12047.0
2021-09-18,furniture,2458347,6,92.0,26431.0
2013-03-13,food,2458377,4,15.0,10658.0
2017-02-16,furniture,2459061,12,94.0,26463.0
2013-11-23,food,2459151,4,7.0,11500.0
2021-02-08,furniture,2459297,9,96.0,26749.0
2019-04-20,furniture,2459340,10,47.0,27485.0
2018-03-07,food,2459435,4,68.0,12278.0
2021-02-08,furniture,2459550,8,14.0,26749.0
2020-06-15,furniture,2459632,8,11.0,25232.0
2013-11-19,food,2459803,1,44.0,11157.0
2013-09-24,food,2459962,0,62.0,10738.0
2019-04-20,furniture,2460013,10,75.0,27485.0
2019-12-21,food,2460075,5,14.0,10074.0
2018-12-24,food,2460132,3,13.0,10902.0
2020-01-13,furniture,2460407,13,8.0,25662.0
2019-07-19,food,2460581,0,76.0,9811.0
2012-01-20,furniture,2460604,14,48.0,29721.0
2017-11-22,food,2460753,5,1.0,10471.0
2019-04-20,furniture,2461052,14,41.0,27485.0
2015-06-13,food,2461413,3,39.0,9901.0
2021-02-08,furniture,2461721,8,20.0,26749.0
2016-09-09,food,2461771,5,10.0,11123.0
2015-01-17,furniture,2461826,16,2.0,25869.0
2020-11-16,food,2461909,1,57.0,10713.0
2014-04-16,food,2462029,0,94.0,12047.0
2016-05-10,food,2462231,4,25.0,10867.0
2015-06-13,food,2462585,4,87.0,9901.0
2018-03-07,food,2462849,4,97.0,12278.0
2013-11-23,food,2462970,1,61.0,11500.0
2019-04-20,furniture,2462996,17,9.0,27485.0
2020-06-15,furniture,2463504,9,24.0,25232.0
2016-01-06,furniture,2463613,16,71.0,28107.0
2015-01-17,furniture,2464027,6,94.0,25869.0
2015-08-09,food,2464456,3,3.0,10859.0
2013-03-13,food,2464500,4,12.0,10658.0
2019-11-07,furniture,2464578,16,28.0,28122.0
2015-06-13,food,2464589,4,94.0,9901.0
2020-01-13,furniture,2464728,15,13.0,25662.0
2020-06-15,furniture,2465143,16,32.0,25232.0
2015-08-23,food,2466365,3,53.0,10944.0
2019-04-08,food,2466482,0,67.0,11605.0
2018-12-24,food,2466747,2,10.0,10902.0
2021-09-18,furniture,2467185,14,83.0,26431.0
2019-11-07,furniture,2467249,11,29.0,28122.0
2017-02-16,furniture,2467574,14,81.0,26463.0
2018-03-24,food,2467715,1,75.0,10733.0
2016-09-09,food,2467863,5,19.0,11123.0
2015-04-27,food,2468534,0,99.0,9578.0
2021-02-08,furniture,2468654,9,6.0,26749.0
2015-08-19,furniture,2468732,6,39.0,28004.0
2015-02-12,furniture,2468745,9,85.0,25749.0
2015-08-09,food,2468908,4,28.0,10859.0
2013-11-19,food,2468966,0,56.0,11157.0
2019-11-07,furniture,2469216,9,49.0,28122.0
2013-11-23,food,2469356,0,47.0,11500.0
2015-02-12,furniture,2469405,10,41.0,25749.0
2018-03-24,food,2469461,3,73.0,10733.0
2015-01-17,furniture,2469733,18,65.0,25869.0
2019-04-20,furniture,2469766,7,15.0,27485.0
2020-03-18,food,2470227,5,92.0,10050.0
2019-12-21,food,2470408,3,92.0,10074.0
2021-02-08,furniture,2470436,18,1.0,26749.0
2013-09-24,food,2470721,3,61.0,10738.0
2021-02-08,furniture,2471133,7,87.0,26749.0
2015-08-09,food,2471408,3,44.0,10859.0
2012-01-20,furniture,2471448,15,75.0,29721.0
2017-11-22,food,2471456,4,53.0,10471.0
2020-01-13,furniture,2471641,14,18.0,25662.0
2020-01-13,furniture,2471778,11,23.0,25662.0
2016-01-06,furniture,2471790,13,66.0,28107.0
2019-09-08,food,2472358,5,97.0,11956.0
2016-09-09,food,2472387,1,92.0,11123.0
2015-04-27,food,2472554,0,0.0,9578.0
2019-04-20,furniture,2472661,14,83.0,27485.0
2015-08-19,furniture,2472861,11,21.0,28004.0
2015-08-19,furniture,2473334,13,62.0,28004.0
2021-02-08,furniture,2473372,19,65.0,26749.0
2019-04-20,furniture,2473706,8,73.0,27485.0
2015-04-27,food,2473944,5,2.0,9578.0
2015-08-19,furniture,2474019,9,91.0,28004.0
2019-09-08,food,2474306,3,48.0,11956.0
2015-08-19,furniture,2474451,12,53.0,28004.0
2012-01-20,furniture,2474546,17,70.0,29721.0
2019-11-08,food,2474674,2,60.0,11497.0
2021-02-08,furniture,2475265,15,0.0,26749.0
2021-02-08,furniture,2476329,6,53.0,26749.0
2013-11-23,food,2476340,0,67.0,11500.0
2015-08-19,furniture,2476548,19,91.0,28004.0
2019-04-08,food,2476633,5,17.0,11605.0
2018-03-07,food,2476736,5,85.0,12278.0
2016-09-09,food,2477001,3,14.0,11123.0
2015-01-17,furniture,2477749,10,1.0,25869.0
2019-11-08,food,2477821,2,45.0,11497.0
2019-01-18,food,2478084,5,28.0,11910.0
2016-05-10,food,2478229,3,48.0,10867.0
2015-08-19,furniture,2478255,15,99.0,28004.0
2019-01-18,food,2478432,3,45.0,11910.0
2013-09-24,food,2478542,3,70.0,10738.0
2016-01-06,furniture,2478669,11,78.0,28107.0
2020-06-15,furniture,2478828,18,14.0,25232.0
2020-06-15,furniture,2478847,14,68.0,25232.0
2015-02-12,furniture,2479030,14,9.0,25749.0
2019-01-18,food,2479127,1,39.0,11910.0
2012-01-20,furniture,2479526,16,86.0,29721.0
2021-02-08,furniture,2479598,15,89.0,26749.0
2019-11-07,furniture,2479697,14,29.0,28122.0
2020-11-16,food,2480092,4,83.0,10713.0
2015-02-12,furniture,2480354,7,45.0,25749.0
2015-06-13,food,2480477,1,71.0,9901.0
2019-04-20,furniture,2481102,16,33.0,27485.0
2012-01-20,furniture,2481148,17,27.0,29721.0
2013-03-13,food,2481192,5,21.0,10658.0
2020-06-15,furniture,2481321,17,80.0,25232.0
2020-06-15,furniture,2481339,15,21.0,25232.0
2020-01-13,furniture,2481437,17,14.0,25662.0
2020-03-18,food,2481446,0,16.0,10050.0
2015-01-17,furniture,2481930,7,54.0,25869.0
2016-01-06,furniture,2482088,18,82.0,28107.0
2017-02-16,furniture,2482156,11,96.0,26463.0
2020-03-18,food,2482201,2,36.0,10050.0
2019-04-20,furniture,2482286,8,48.0,27485.0
2012-01-20,furniture,2483006,15,64.0,29721.0
2017-02-17,food,2483989,4,50.0,10553.0
2017-05-19,food,2484053,2,75.0,10689.0
2016-01-06,furniture,2484114,12,47.0,28107.0
2015-02-12,furniture,2484245,13,53.0,25749.0
2019-12-21,food,2484591,5,66.0,10074.0
2013-11-23,food,2484695,5,6.0,11500.0
2015-06-13,food,2484795,4,80.0,9901.0
2019-11-07,furniture,2484965,13,2.0,28122.0
2017-11-22,food,2485216,5,99.0,10471.0
2020-03-18,food,2485478,3,72.0,10050.0
2015-02-12,furniture,2485673,7,87.0,25749.0
2013-03-13,food,2486043,0,95.0,10658.0
2019-11-07,furniture,2486044,17,15.0,28122.0
2013-09-24,food,2486058,2,36.0,10738.0
2020-01-13,furniture,2486255,16,10.0,25662.0
2019-04-20,furniture,2486369,9,55.0,27485.0
2017-11-22,food,2486532,4,43.0,10471.0
2015-02-12,furniture,2486542,17,56.0,25749.0
2016-09-09,food,2486749,3,23.0,11123.0
2016-01-06,furniture,2486875,10,13.0,28107.0
2021-09-18,furniture,2486942,10,5.0,26431.0
2015-06-13,food,2487151,4,65.0,9901.0
2015-02-12,furniture,2487197,18,77.0,25749.0
2015-01-17,furniture,2487475,16,87.0,25869.0
2016-01-06,furniture,2487728,7,33.0,28107.0
2020-11-16,food,2487865,0,76.0,10713.0
2017-02-16,furniture,2488041,15,41.0,26463.0
2021-02-08,furniture,2488567,18,65.0,26749.0
2020-01-13,furniture,2488713,11,9.0,25662.0
2017-02-16,furniture,2488881,6,42.0,26463.0
2017-02-16,furniture,2488978,15,33.0,26463.0
2013-11-19,food,2488993,4,98.0,11157.0
2019-09-08,food,2488998,1,85.0,11956.0
2018-03-07,food,2489144,5,2.0,12278.0
2016-01-06,furniture,2489544,18,59.0,28107.0
2019-01-18,food,2489593,1,90.0,11910.0
2012-01-20,furniture,2490017,10,91.0,29721.0
2012-01-20,furniture,2490162,13,66.0,29721.0
2017-11-22,food,2490456,4,43.0,10471.0
2013-09-24,food,2490608,3,38.0,10738.0
2015-08-19,furniture,2490723,9,94.0,28004.0
2015-01-17,furniture,2490790,6,2.0,25869.0
2021-02-08,furniture,2491129,16,95.0,26749.0
2020-06-15,furniture,2491133,8,98.0,25232.0
2012-01-20,furniture,2491491,8,69.0,29721.0
2019-12-21,food,2491765,0,75.0,10074.0
2016-09-09,food,2491790,1,74.0,11123.0
2019-07-19,food,2492365,0,49.0,9811.0
2019-12-21,food,2492946,2,40.0,10074.0
2018-03-07,food,2493180,2,61.0,12278.0
2016-01-06,furniture,2493666,19,81.0,28107.0
2012-01-20,furniture,2494434,11,38.0,29721.0
2020-06-15,furniture,2494462,15,49.0,25232.0
2014-04-16,food,2494601,5,51.0,12047.0
2016-01-06,furniture,2494683,13,7.0,28107.0
2016-01-06,furniture,2495647,10,77.0,28107.0
2019-12-21,food,2496465,3,88.0,10074.0
2015-02-12,furniture,2496825,7,74.0,25749.0
2015-04-27,food,2496920,2,69.0,9578.0
2016-09-09,food,2497222,5,11.0,11123.0
2019-04-20,furniture,2497356,13,21.0,27485.0
2020-06-15,furniture,2497480,17,35.0,25232.0
2018-03-07,food,2497961,5,14.0,12278.0
2020-03-18,food,2497967,3,72.0,10050.0
2015-08-23,food,2498083,3,83.0,10944.0
2021-02-08,furniture,2498348,17,93.0,26749.0
2019-01-27,food,2498373,0,95.0,10275.0
2019-04-20,furniture,2498613,14,71.0,27485.0
2019-11-07,furniture,2499306,10,8.0,28122.0
2019-04-08,food,2499321,2,90.0,11605.0
2019-11-07,furniture,2499422,18,24.0,28122.0
2021-09-18,furniture,2499539,9,57.0,26431.0
2020-11-16,food,2499582,3,32.0,10713.0
2020-01-13,furniture,2499584,13,43.0,25662.0
2017-02-17,food,2499641,4,11.0,10553.0
2019-01-18,food,2499754,2,55.0,11910.0
2018-12-04,food,2425339,5,11.0,12242.0
2013-07-17,furniture,2425857,7,69.0,24174.0
2019-05-28,furniture,2425970,7,14.0,25215.0
2019-10-28,food,2426055,3,32.0,10388.0
2016-03-06,furniture,2426675,6,39.0,27040.0
2015-06-26,food,2426950,5,53.0,12523.0
2019-05-28,furniture,2427049,10,3.0,25215.0
2018-04-01,furniture,2427278,6,18.0,25908.0
2015-07-11,furniture,2427505,7,14.0,25815.0
2018-02-23,furniture,2427583,15,91.0,25578.0
2016-03-06,furniture,2428100,9,50.0,27040.0
2019-10-28,food,2428783,4,5.0,10388.0
2018-12-04,food,2428816,2,77.0,12242.0
2019-10-24,food,2429038,3,81.0,10981.0
2019-10-28,food,2429476,5,4.0,10388.0
2014-12-10,furniture,2429545,19,23.0,25061.0
2018-02-23,furniture,2429655,9,70.0,25578.0
2015-06-26,food,2429849,4,92.0,12523.0
2016-12-14,food,2430148,2,65.0,10376.0
2017-09-22,food,2430534,0,75.0,11641.0
2016-03-06,furniture,2430779,17,52.0,27040.0
2015-04-13,furniture,2430868,19,48.0,24303.0
2021-08-26,food,2431256,3,69.0,10024.0
2013-11-03,furniture,2432056,16,15.0,27102.0
2017-09-22,food,2432237,0,91.0,11641.0
2018-12-04,food,2432447,1,95.0,12242.0
2019-10-24,food,2432600,0,72.0,10981.0
2015-03-25,food,2432942,2,43.0,10378.0
2015-04-13,furniture,2433293,11,12.0,24303.0
2017-06-19,furniture,2433296,6,62.0,24636.0
2016-12-14,food,2433350,1,31.0,10376.0
2012-09-18,food,2433482,3,41.0,9647.0
2018-04-01,furniture,2433646,12,12.0,25908.0
2015-04-13,furniture,2434154,16,91.0,24303.0
2021-08-26,food,2434185,4,65.0,10024.0
2013-11-03,furniture,2434209,6,43.0,27102.0
2013-11-03,furniture,2434787,10,76.0,27102.0
2015-04-13,furniture,2434831,19,98.0,24303.0
2013-11-03,furniture,2434917,14,98.0,27102.0
2017-06-18,food,2435071,2,63.0,11803.0
2020-09-15,furniture,2435236,6,64.0,29370.0
2019-10-24,food,2435390,2,44.0,10981.0
2016-03-06,furniture,2435517,16,87.0,27040.0
2018-04-05,furniture,2435550,14,4.0,23687.0
2013-07-17,furniture,2435995,17,64.0,24174.0
2013-07-17,furniture,2436156,6,90.0,24174.0
2019-10-24,food,2436629,4,71.0,10981.0
2020-09-15,furniture,2436694,9,10.0,29370.0
2014-12-10,furniture,2436803,14,38.0,25061.0
2017-06-19,furniture,2437094,14,51.0,24636.0
2018-12-04,food,2437399,1,5.0,12242.0
2015-04-13,furniture,2437632,11,0.0,24303.0
2016-03-06,furniture,2438315,13,41.0,27040.0
2018-04-01,furniture,2438868,10,88.0,25908.0
2017-06-19,furniture,2438942,11,30.0,24636.0
2015-07-11,furniture,2439675,19,61.0,25815.0
2016-03-06,furniture,2440404,13,83.0,27040.0
2012-09-18,food,2440517,5,20.0,9647.0
2016-03-06,furniture,2440741,14,11.0,27040.0
2019-05-28,furniture,2440750,10,20.0,25215.0
2018-02-23,furniture,2441230,9,33.0,25578.0
2017-06-19,furniture,2441294,10,8.0,24636.0
2017-06-19,furniture,2441402,8,1.0,24636.0
2015-03-25,food,2441684,0,88.0,10378.0
2015-06-26,food,2441812,1,52.0,12523.0
2015-04-13,furniture,2442602,8,66.0,24303.0
2016-03-06,furniture,2442626,8,87.0,27040.0
2018-04-05,furniture,2442634,8,95.0,23687.0
2014-12-10,furniture,2442711,11,49.0,25061.0
2015-04-13,furniture,2443257,17,98.0,24303.0
2021-09-02,food,2443384,5,5.0,10958.0
2018-02-23,furniture,2443694,8,44.0,25578.0
2018-04-01,furniture,2443865,12,13.0,25908.0
2018-10-28,food,2443877,2,59.0,11791.0
2020-09-15,furniture,2444020,6,69.0,29370.0
2013-07-17,furniture,2444082,11,66.0,24174.0
2014-12-10,furniture,2444116,13,39.0,25061.0
2019-10-28,food,2444279,3,26.0,10388.0
2018-12-04,food,2444350,1,67.0,12242.0
2018-10-28,food,2444372,5,63.0,11791.0
2016-03-06,furniture,2444432,16,55.0,27040.0
2019-10-28,food,2444439,4,52.0,10388.0
2018-04-05,furniture,2444443,13,59.0,23687.0
2018-02-23,furniture,2445081,13,94.0,25578.0
2014-12-10,furniture,2445545,14,59.0,25061.0
2019-01-24,food,2445614,1,79.0,10766.0
2015-07-11,furniture,2445913,19,8.0,25815.0
2016-03-06,furniture,2447062,7,21.0,27040.0
2015-03-25,food,2447523,1,22.0,10378.0
2017-06-18,food,2447722,2,36.0,11803.0
2015-06-26,food,2447884,0,98.0,12523.0
2014-12-10,furniture,2448413,16,61.0,25061.0
2015-07-11,furniture,2448685,9,96.0,25815.0
2018-02-23,furniture,2449306,8,34.0,25578.0
2017-06-19,furniture,2449738,16,15.0,24636.0
2015-06-26,food,2449765,3,71.0,12523.0
2018-04-01,furniture,2449807,14,33.0,25908.0
2019-05-28,furniture,2450694,9,18.0,25215.0
2017-06-19,furniture,2450878,15,4.0,24636.0
2019-01-24,food,2450936,1,46.0,10766.0
2018-02-23,furniture,2451013,11,86.0,25578.0
2018-04-01,furniture,2451185,6,29.0,25908.0
2016-04-03,food,2451373,2,8.0,9702.0
2013-07-17,furniture,2452550,10,81.0,24174.0
2016-03-06,furniture,2453037,17,59.0,27040.0
2015-04-13,furniture,2453852,14,62.0,24303.0
2019-05-28,furniture,2453866,14,94.0,25215.0
2020-09-15,furniture,2453918,7,68.0,29370.0
2015-07-11,furniture,2454016,6,41.0,25815.0
2015-03-25,food,2454581,4,38.0,10378.0
2015-03-25,food,2454894,5,96.0,10378.0
2017-06-18,food,2456365,5,6.0,11803.0
2018-02-23,furniture,2456554,11,74.0,25578.0
2013-07-17,furniture,2456638,19,32.0,24174.0
2013-07-17,furniture,2456719,14,26.0,24174.0
2016-04-03,food,2456789,5,70.0,9702.0
2020-09-15,furniture,2456988,6,18.0,29370.0
2013-07-17,furniture,2457014,10,30.0,24174.0
2018-04-01,furniture,2457020,18,48.0,25908.0
2016-03-06,furniture,2457099,14,95.0,27040.0
2015-06-26,food,2457276,0,81.0,12523.0
2015-04-13,furniture,2457469,9,85.0,24303.0
2017-09-22,food,2457562,0,70.0,11641.0
2013-11-03,furniture,2457736,17,41.0,27102.0
2019-05-28,furniture,2457841,11,14.0,25215.0
2016-07-25,food,2457849,1,74.0,11590.0
2020-09-15,furniture,2458231,16,53.0,29370.0
2019-10-24,food,2458287,2,0.0,10981.0
2018-04-05,furniture,2458375,12,64.0,23687.0
2016-07-25,food,2458399,5,59.0,11590.0
2018-10-28,food,2458592,0,86.0,11791.0
2019-10-24,food,2458804,3,62.0,10981.0
2017-06-19,furniture,2459064,6,62.0,24636.0
2021-08-26,food,2459230,4,38.0,10024.0
2018-04-01,furniture,2459612,9,39.0,25908.0
2016-03-06,furniture,2459793,13,5.0,27040.0
2016-03-06,furniture,2459849,9,79.0,27040.0
2015-06-26,food,2460431,1,40.0,12523.0
2018-04-05,furniture,2460438,7,95.0,23687.0
2015-07-11,furniture,2460589,17,37.0,25815.0
2015-04-13,furniture,2460647,8,68.0,24303.0
2017-06-18,food,2460895,5,84.0,11803.0
2017-06-19,furniture,2461447,16,14.0,24636.0
2015-07-11,furniture,2462218,12,66.0,25815.0
2018-02-23,furniture,2463059,19,72.0,25578.0
2016-07-25,food,2463390,3,76.0,11590.0
2016-03-06,furniture,2463478,19,64.0,27040.0
2019-10-28,food,2464005,4,1.0,10388.0
2016-04-03,food,2464031,4,67.0,9702.0
2013-07-17,furniture,2464191,11,21.0,24174.0
2020-09-15,furniture,2464245,11,69.0,29370.0
2018-04-01,furniture,2464485,8,73.0,25908.0
2015-07-11,furniture,2464530,6,53.0,25815.0
2014-12-10,furniture,2464693,6,21.0,25061.0
2018-02-23,furniture,2465620,19,19.0,25578.0
2015-04-13,furniture,2465626,7,36.0,24303.0
2015-07-11,furniture,2465669,14,22.0,25815.0
2021-08-26,food,2465920,3,44.0,10024.0
2018-04-01,furniture,2466527,16,46.0,25908.0
2013-11-03,furniture,2466667,7,27.0,27102.0
2013-11-03,furniture,2466766,14,78.0,27102.0
2015-04-13,furniture,2467102,13,84.0,24303.0
2018-02-23,furniture,2467484,16,97.0,25578.0
2013-11-03,furniture,2467513,15,66.0,27102.0
2014-12-10,furniture,2467680,11,9.0,25061.0
2019-05-28,furniture,2468513,14,46.0,25215.0
2018-02-23,furniture,2469038,9,24.0,25578.0
2018-04-01,furniture,2469207,10,99.0,25908.0
2018-04-05,furniture,2469248,18,17.0,23687.0
2013-11-03,furniture,2469302,16,9.0,27102.0
2015-04-13,furniture,2469849,10,57.0,24303.0
2014-12-10,furniture,2470038,17,86.0,25061.0
2021-09-02,food,2470206,5,58.0,10958.0
2019-05-28,furniture,2470388,12,7.0,25215.0
2013-07-17,furniture,2470574,15,59.0,24174.0
2018-04-01,furniture,2470713,17,93.0,25908.0
2019-01-24,food,2470770,3,34.0,10766.0
2018-12-04,food,2470885,3,90.0,12242.0
2013-11-03,furniture,2471424,10,28.0,27102.0
2018-04-01,furniture,2471537,17,26.0,25908.0
2018-10-28,food,2471721,3,68.0,11791.0
2016-07-25,food,2471901,2,89.0,11590.0
2018-04-05,furniture,2472095,8,59.0,23687.0
2019-01-24,food,2472343,3,0.0,10766.0
2013-11-03,furniture,2472382,15,1.0,27102.0
2016-03-06,furniture,2472653,19,82.0,27040.0
2016-03-06,furniture,2472855,12,91.0,27040.0
2019-10-28,food,2472913,1,25.0,10388.0
2013-11-03,furniture,2472988,19,33.0,27102.0
2018-04-05,furniture,2473229,15,89.0,23687.0
2015-04-13,furniture,2473745,7,17.0,24303.0
2017-06-18,food,2473916,5,35.0,11803.0
2013-07-17,furniture,2474086,15,5.0,24174.0
2015-07-11,furniture,2474365,14,12.0,25815.0
2013-11-03,furniture,2474489,16,14.0,27102.0
2017-09-22,food,2474710,1,73.0,11641.0
2013-07-17,furniture,2475453,14,52.0,24174.0
2013-07-17,furniture,2475781,12,68.0,24174.0
2014-12-10,furniture,2475970,10,56.0,25061.0
